No.,Position,Player
1,GK,Iker Casillas
2,DF,Maxi Pereira
3,DF,Éder Militão
4,DF,Diogo Leite
5,DF,Chidozie Awaziem
6,MF,Bruno Costa
7,FW,Hernâni
8,FW,Yacine Brahimi
9,FW,Vincent Aboubakar
10,MF,Óliver Torres
11,FW,Moussa Marega
13,DF,Alex Telles
14,FW,Marius Mouandilmadji
16,MF,Héctor Herrera (captain)
17,FW,Jesús Corona
18,DF,Jorge (on loan from Monaco)
19,DF,Chancel Mbemba
20,FW,Adrián López
21,FW,André Pereira
22,MF,Danilo Pereira
23,DF,João Pedro
24,MF,Riechedly Bazoer (on loan from Wolfsburg)
25,MF,Otávio
26,GK,Vaná
27,MF,Sérgio Oliveira
28,DF,Felipe
29,FW,Soares
31,GK,Diogo Costa
40,GK,Fabiano
